MANAGEMENT POLICY: First	POOL SIZE 1024 KB
Failed Req 89 is size 53152
Failed Req 217 is size 128224
Failed Req 226 is size 122592
Failed Req 302 is size 118560
Failed Req 346 is size 112864
Failed Req 350 is size 128160
Failed Req 556 is size 126048
Failed Req 634 is size 65696
Failed Req 635 is size 100448
Failed Req 873 is size 80736

TOTAL ALLOCATIONS: 490

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
1	alloc	99744		YES	948832		1		948832
2	alloc	111776		YES	837056		1		837056
3	alloc	64864		YES	772192		1		772192
4	alloc	91552		YES	680640		1		680640
5	free	2		YES	792416		2		680640
6	free	4		YES	883968		2		772192
7	alloc	5600		YES	878368		2		772192
8	alloc	110304		YES	768064		2		661888
9	alloc	78688		YES	689376		2		661888
10	alloc	8032		YES	681344		2		661888
11	alloc	27872		YES	653472		2		634016
12	alloc	72992		YES	580480		2		561024
13	alloc	4960		YES	575520		2		561024
14	alloc	58400		YES	517120		2		502624
15	alloc	84640		YES	432480		2		417984
16	free	9		YES	511168		3		417984
17	alloc	25760		YES	485408		3		417984
18	free	7		YES	491008		4		417984
19	free	3		YES	555872		4		417984

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
20	alloc	6496		YES	549376		4		417984
21	alloc	118240		YES	431136		4		299744
22	free	11		YES	459008		5		299744
23	alloc	44448		YES	414560		5		299744
24	free	10		YES	422592		5		299744
25	alloc	113440		YES	309152		5		186304
26	free	1		YES	408896		5		186304
27	free	21		YES	527136		6		186304
28	free	20		YES	533632		7		186304
29	free	15		YES	618272		7		202880
30	alloc	115040		YES	503232		7		186304
31	free	17		YES	528992		6		186304
32	alloc	55072		YES	473920		6		186304
33	free	13		YES	478880		5		186304
34	free	23		YES	523328		4		221312
35	free	32		YES	578400		4		276384
36	alloc	57312		YES	521088		4		219072
37	alloc	101408		YES	419680		4		186304
38	free	8		YES	529984		3		255840
39	free	12		YES	602976		3		328832

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
40	free	14		YES	661376		3		387232
41	alloc	71328		YES	590048		3		315904
42	alloc	26144		YES	563904		3		289760
43	alloc	55968		YES	507936		3		233792
44	alloc	17824		YES	490112		3		215968
45	free	42		YES	516256		4		215968
46	free	36		YES	573568		5		215968
47	alloc	49120		YES	524448		5		215968
48	free	41		YES	595776		5		215968
49	alloc	87200		YES	508576		5		215968
50	alloc	16928		YES	491648		5		199040
51	alloc	10848		YES	480800		5		188192
52	free	50		YES	497728		6		188192
53	free	49		YES	584928		6		188192
54	alloc	110112		YES	474816		6		186304
55	free	25		YES	588256		5		387584
56	alloc	36640		YES	551616		5		387584
57	free	54		YES	661728		5		387584
58	alloc	90592		YES	571136		5		387584
59	alloc	32		YES	571104		5		387584

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
60	free	30		YES	686144		4		600224
61	alloc	57312		YES	628832		4		600224
62	alloc	113952		YES	514880		4		486272
63	free	37		YES	616288		4		486272
64	alloc	88160		YES	528128		4		486272
65	free	43		YES	584096		4		486272
66	free	51		YES	594944		4		486272
67	alloc	35424		YES	559520		4		486272
68	alloc	7584		YES	551936		4		486272
69	free	47		YES	601056		5		486272
70	free	68		YES	608640		5		486272
71	alloc	60960		YES	547680		5		425312
72	alloc	36704		YES	510976		5		425312
73	free	58		YES	601568		5		425312
74	free	44		YES	619392		4		425312
75	alloc	44512		YES	574880		4		425312
76	alloc	34656		YES	540224		4		425312
77	free	59		YES	540256		4		425312
78	alloc	85024		YES	455232		4		340288
79	free	56		YES	491872		4		340288

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
80	alloc	42080		YES	449792		4		340288
81	alloc	39520		YES	410272		4		340288
82	alloc	79840		YES	330432		4		260448
83	free	80		YES	372512		4		260448
84	free	61		YES	429824		4		260448
85	alloc	79840		YES	349984		4		260448
86	alloc	110816		YES	239168		4		149632
87	alloc	61664		YES	177504		4		87968
88	alloc	51808		YES	125696		4		41568
89	alloc	53152		NO	125696		4		41568
90	free	67		YES	161120		4		70944
91	free	62		YES	275072		4		155520
92	free	78		YES	360096		5		155520
93	free	64		YES	448256		5		155520
94	free	75		YES	492768		5		155520
95	free	72		YES	529472		5		155520
96	free	76		YES	564128		5		155520
97	free	81		YES	603648		4		345152
98	alloc	40736		YES	562912		4		345152
99	alloc	108192		YES	454720		4		236960

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
100	free	71		YES	515680		3		382944
101	free	85		YES	595520		3		382944
102	alloc	43552		YES	551968		3		382944
103	alloc	95840		YES	456128		3		382944
104	free	98		YES	496864		4		382944
105	free	89		NO	496864		4		382944
106	free	103		YES	592704		4		382944
107	alloc	10464		YES	582240		4		382944
108	alloc	51552		YES	530688		4		382944
109	free	86		YES	641504		5		382944
110	free	108		YES	693056		5		382944
111	alloc	31200		YES	661856		5		382944
112	free	82		YES	741696		4		573600
113	free	88		YES	793504		4		573600
114	alloc	63648		YES	729856		4		573600
115	free	87		YES	791520		3		723232
116	free	99		YES	899712		2		869440
117	alloc	96480		YES	803232		2		772960
118	alloc	44832		YES	758400		2		728128
119	alloc	24864		YES	733536		2		728128

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
120	free	119		YES	758400		2		728128
121	alloc	80224		YES	678176		2		647904
122	alloc	91680		YES	586496		2		556224
123	free	107		YES	596960		2		556224
124	alloc	94752		YES	502208		2		461472
125	alloc	113376		YES	388832		2		348096
